Date,Franchise,Montant,Points attribués,Code promo,Promotion liée,Rabais appliqué
2026-07-07,Poké Station Trois-Rivières,63.91,320,DUO2POUR1,Combo duo vendredi,9.59
2026-07-07,Poké Station Trois-Rivières,58.43,292,,,0.00
2026-07-07,Poké Station Trois-Rivières,62.81,314,,,0.00
2026-07-07,Poké Station Trois-Rivières,42.05,210,,,0.00
2026-07-07,Poké Station Trois-Rivières,21.15,106,BIENVENUE,Bienvenue nouveaux membres,3.17
2026-07-08,Poké Station Trois-Rivières,53.32,267,,,0.00
2026-07-08,Poké Station Trois-Rivières,38.21,191,,,0.00
2026-07-08,Poké Station Trois-Rivières,66.30,332,,,0.00
2026-07-08,Poké Station Trois-Rivières,42.57,213,,,0.00
2026-07-09,Poké Station Trois-Rivières,22.46,112,,,0.00
2026-07-09,Poké Station Trois-Rivières,57.30,287,,,0.00
2026-07-09,Poké Station Trois-Rivières,63.67,318,,,0.00
2026-07-09,Poké Station Trois-Rivières,66.57,333,,,0.00
2026-07-09,Poké Station Trois-Rivières,31.00,155,ETE15,Été Poké — 15 % sur bol signature,4.65
2026-07-09,Poké Station Trois-Rivières,41.95,210,,,0.00
2026-07-09,Poké Station Trois-Rivières,64.43,322,,,0.00
2026-07-10,Poké Station Trois-Rivières,71.85,359,,,0.00
2026-07-10,Poké Station Trois-Rivières,34.01,170,,,0.00
2026-07-10,Poké Station Trois-Rivières,71.03,355,,,0.00
2026-07-10,Poké Station Trois-Rivières,27.91,140,ETE15,Été Poké — 15 % sur bol signature,4.19
2026-07-10,Poké Station Trois-Rivières,49.65,248,,,0.00
2026-07-10,Poké Station Trois-Rivières,41.25,206,,,0.00
2026-07-10,Poké Station Trois-Rivières,27.72,139,,,0.00
2026-07-10,Poké Station Trois-Rivières,34.04,170,,,0.00
2026-07-11,Poké Station Trois-Rivières,38.06,190,,,0.00
2026-07-11,Poké Station Trois-Rivières,56.84,284,,,0.00
2026-07-11,Poké Station Trois-Rivières,18.81,94,,,0.00
2026-07-11,Poké Station Trois-Rivières,68.98,345,,,0.00
2026-07-12,Poké Station Trois-Rivières,49.60,248,,,0.00
2026-07-12,Poké Station Trois-Rivières,65.00,325,,,0.00
2026-07-12,Poké Station Trois-Rivières,71.93,360,ETE15,Été Poké — 15 % sur bol signature,10.79
2026-07-12,Poké Station Trois-Rivières,35.38,177,,,0.00
2026-07-12,Poké Station Trois-Rivières,40.37,202,,,0.00
2026-07-12,Poké Station Trois-Rivières,51.88,259,,,0.00
2026-07-12,Poké Station Trois-Rivières,34.91,175,BIENVENUE,Bienvenue nouveaux membres,5.24
2026-07-13,Poké Station Trois-Rivières,38.62,193,,,0.00
2026-07-13,Poké Station Trois-Rivières,68.00,340,,,0.00
2026-07-13,Poké Station Trois-Rivières,72.25,361,,,0.00
2026-07-13,Poké Station Trois-Rivières,16.35,82,,,0.00
2026-07-13,Poké Station Trois-Rivières,45.31,227,ETE15,Été Poké — 15 % sur bol signature,6.80
2026-07-13,Poké Station Trois-Rivières,64.14,321,,,0.00
2026-07-13,Poké Station Trois-Rivières,37.82,189,DUO2POUR1,Combo duo vendredi,5.67
2026-07-13,Poké Station Trois-Rivières,51.37,257,ETE15,Été Poké — 15 % sur bol signature,7.71
2026-07-13,Poké Station Trois-Rivières,69.78,349,,,0.00
2026-07-14,Poké Station Trois-Rivières,33.24,166,BIENVENUE,Bienvenue nouveaux membres,4.99
2026-07-14,Poké Station Trois-Rivières,29.10,146,,,0.00
2026-07-14,Poké Station Trois-Rivières,73.16,366,ETE15,Été Poké — 15 % sur bol signature,10.97
2026-07-14,Poké Station Trois-Rivières,70.41,352,,,0.00
2026-07-14,Poké Station Trois-Rivières,45.86,229,,,0.00
2026-07-14,Poké Station Trois-Rivières,24.50,123,,,0.00
2026-07-14,Poké Station Trois-Rivières,31.33,157,,,0.00
2026-07-14,Poké Station Trois-Rivières,31.36,157,ETE15,Été Poké — 15 % sur bol signature,4.70
2026-07-15,Poké Station Trois-Rivières,72.91,365,BIENVENUE,Bienvenue nouveaux membres,10.94
2026-07-15,Poké Station Trois-Rivières,56.50,283,,,0.00
2026-07-15,Poké Station Trois-Rivières,56.62,283,,,0.00
2026-07-15,Poké Station Trois-Rivières,38.27,191,,,0.00
2026-07-15,Poké Station Trois-Rivières,26.45,132,ETE15,Été Poké — 15 % sur bol signature,3.97
2026-07-15,Poké Station Trois-Rivières,46.15,231,,,0.00
2026-07-15,Poké Station Trois-Rivières,62.39,312,,,0.00
2026-07-16,Poké Station Trois-Rivières,31.47,157,,,0.00
2026-07-16,Poké Station Trois-Rivières,32.38,162,,,0.00
2026-07-16,Poké Station Trois-Rivières,33.14,166,,,0.00
2026-07-16,Poké Station Trois-Rivières,58.78,294,DUO2POUR1,Combo duo vendredi,8.82
2026-07-16,Poké Station Trois-Rivières,74.27,371,,,0.00
2026-07-17,Poké Station Trois-Rivières,57.18,286,BIENVENUE,Bienvenue nouveaux membres,8.58
2026-07-17,Poké Station Trois-Rivières,15.12,76,,,0.00
2026-07-17,Poké Station Trois-Rivières,66.26,331,,,0.00
2026-07-17,Poké Station Trois-Rivières,55.59,278,,,0.00
2026-07-17,Poké Station Trois-Rivières,68.12,341,ETE15,Été Poké — 15 % sur bol signature,10.22
2026-07-17,Poké Station Trois-Rivières,68.85,344,ETE15,Été Poké — 15 % sur bol signature,10.33
2026-07-18,Poké Station Trois-Rivières,52.43,262,,,0.00
2026-07-18,Poké Station Trois-Rivières,65.05,325,,,0.00
2026-07-18,Poké Station Trois-Rivières,29.20,146,,,0.00
2026-07-19,Poké Station Trois-Rivières,65.51,328,,,0.00
2026-07-19,Poké Station Trois-Rivières,49.33,247,DUO2POUR1,Combo duo vendredi,7.40
2026-07-19,Poké Station Trois-Rivières,48.02,240,,,0.00
2026-07-19,Poké Station Trois-Rivières,26.56,133,,,0.00
2026-07-20,Poké Station Trois-Rivières,69.10,346,ETE15,Été Poké — 15 % sur bol signature,10.36
2026-07-20,Poké Station Trois-Rivières,66.77,334,,,0.00
2026-07-20,Poké Station Trois-Rivières,27.63,138,,,0.00
2026-07-20,Poké Station Trois-Rivières,36.69,183,,,0.00
2026-07-20,Poké Station Trois-Rivières,58.94,295,,,0.00
2026-07-20,Poké Station Trois-Rivières,59.38,297,,,0.00
2026-07-20,Poké Station Trois-Rivières,63.02,315,,,0.00
2026-07-20,Poké Station Trois-Rivières,34.86,174,,,0.00
2026-07-20,Poké Station Trois-Rivières,59.89,299,,,0.00
2026-07-21,Poké Station Trois-Rivières,54.77,274,,,0.00
2026-07-21,Poké Station Trois-Rivières,63.36,317,,,0.00
2026-07-21,Poké Station Trois-Rivières,28.48,142,,,0.00
2026-07-21,Poké Station Trois-Rivières,35.13,176,,,0.00
2026-07-21,Poké Station Trois-Rivières,48.31,242,,,0.00
2026-07-21,Poké Station Trois-Rivières,33.01,165,,,0.00
2026-07-22,Poké Station Trois-Rivières,45.61,228,ETE15,Été Poké — 15 % sur bol signature,6.84
2026-07-22,Poké Station Trois-Rivières,36.66,183,DUO2POUR1,Combo duo vendredi,5.50
2026-07-22,Poké Station Trois-Rivières,62.57,313,,,0.00
2026-07-22,Poké Station Trois-Rivières,28.34,142,BIENVENUE,Bienvenue nouveaux membres,4.25
2026-07-22,Poké Station Trois-Rivières,18.97,95,,,0.00
2026-07-22,Poké Station Trois-Rivières,59.46,297,,,0.00
2026-07-22,Poké Station Trois-Rivières,54.81,274,ETE15,Été Poké — 15 % sur bol signature,8.22
2026-07-22,Poké Station Trois-Rivières,30.03,150,,,0.00
2026-07-22,Poké Station Trois-Rivières,70.10,351,,,0.00
2026-07-23,Poké Station Trois-Rivières,29.12,146,,,0.00
2026-07-23,Poké Station Trois-Rivières,66.65,333,,,0.00
2026-07-23,Poké Station Trois-Rivières,32.37,162,,,0.00
2026-07-24,Poké Station Trois-Rivières,29.29,146,ETE15,Été Poké — 15 % sur bol signature,4.39
2026-07-24,Poké Station Trois-Rivières,66.92,335,,,0.00
2026-07-24,Poké Station Trois-Rivières,56.06,280,,,0.00
2026-07-24,Poké Station Trois-Rivières,21.74,109,ETE15,Été Poké — 15 % sur bol signature,3.26
2026-07-24,Poké Station Trois-Rivières,48.95,245,,,0.00
2026-07-24,Poké Station Trois-Rivières,42.68,213,,,0.00
2026-07-24,Poké Station Trois-Rivières,27.94,140,,,0.00
2026-07-24,Poké Station Trois-Rivières,29.73,149,,,0.00
2026-07-24,Poké Station Trois-Rivières,73.04,365,,,0.00
2026-07-25,Poké Station Trois-Rivières,21.57,108,ETE15,Été Poké — 15 % sur bol signature,3.24
2026-07-25,Poké Station Trois-Rivières,74.56,373,,,0.00
2026-07-25,Poké Station Trois-Rivières,52.41,262,,,0.00
2026-07-25,Poké Station Trois-Rivières,40.12,201,,,0.00
2026-07-25,Poké Station Trois-Rivières,62.70,314,,,0.00
2026-07-25,Poké Station Trois-Rivières,25.14,126,,,0.00
2026-07-25,Poké Station Trois-Rivières,72.43,362,,,0.00
2026-07-25,Poké Station Trois-Rivières,49.59,248,,,0.00
2026-07-26,Poké Station Trois-Rivières,28.05,140,,,0.00
2026-07-26,Poké Station Trois-Rivières,27.67,138,,,0.00
2026-07-26,Poké Station Trois-Rivières,60.47,302,,,0.00
2026-07-26,Poké Station Trois-Rivières,31.47,157,,,0.00
2026-07-26,Poké Station Trois-Rivières,25.67,128,ETE15,Été Poké — 15 % sur bol signature,3.85
2026-07-26,Poké Station Trois-Rivières,68.06,340,ETE15,Été Poké — 15 % sur bol signature,10.21
2026-07-27,Poké Station Trois-Rivières,53.87,269,,,0.00
2026-07-27,Poké Station Trois-Rivières,68.16,341,,,0.00
2026-07-27,Poké Station Trois-Rivières,33.97,170,ETE15,Été Poké — 15 % sur bol signature,5.10
2026-07-27,Poké Station Trois-Rivières,36.32,182,,,0.00
2026-07-27,Poké Station Trois-Rivières,40.19,201,,,0.00
2026-07-27,Poké Station Trois-Rivières,70.59,353,,,0.00
2026-07-27,Poké Station Trois-Rivières,32.51,163,,,0.00
2026-07-27,Poké Station Trois-Rivières,70.97,355,,,0.00
2026-07-28,Poké Station Trois-Rivières,45.23,226,,,0.00
2026-07-28,Poké Station Trois-Rivières,15.03,75,,,0.00
2026-07-28,Poké Station Trois-Rivières,64.69,323,,,0.00
2026-07-28,Poké Station Trois-Rivières,39.21,196,,,0.00
2026-07-29,Poké Station Trois-Rivières,41.93,210,,,0.00
2026-07-29,Poké Station Trois-Rivières,27.24,136,DUO2POUR1,Combo duo vendredi,4.09
2026-07-29,Poké Station Trois-Rivières,40.74,204,,,0.00
2026-07-29,Poké Station Trois-Rivières,47.43,237,,,0.00
2026-07-30,Poké Station Trois-Rivières,24.54,123,,,0.00
2026-07-30,Poké Station Trois-Rivières,34.80,174,,,0.00
2026-07-30,Poké Station Trois-Rivières,61.59,308,,,0.00
2026-07-30,Poké Station Trois-Rivières,69.90,350,,,0.00
2026-07-30,Poké Station Trois-Rivières,24.75,124,,,0.00
2026-07-30,Poké Station Trois-Rivières,71.12,356,,,0.00
2026-07-30,Poké Station Trois-Rivières,54.02,270,,,0.00
2026-07-30,Poké Station Trois-Rivières,58.44,292,,,0.00
2026-07-30,Poké Station Trois-Rivières,49.40,247,,,0.00
2026-07-31,Poké Station Trois-Rivières,20.33,102,,,0.00
2026-07-31,Poké Station Trois-Rivières,32.63,163,,,0.00
2026-07-31,Poké Station Trois-Rivières,34.79,174,,,0.00
2026-07-31,Poké Station Trois-Rivières,51.80,259,,,0.00
2026-07-31,Poké Station Trois-Rivières,48.68,243,,,0.00
2026-07-31,Poké Station Trois-Rivières,50.43,252,,,0.00
2026-07-31,Poké Station Trois-Rivières,22.03,110,,,0.00
